Chemform,N,RMSAD (SQS),d-band bimodality,d-band bimodality^2,VEC-5.7,VEC5.7^2,VEC SD from 5.7,VECSD5.7^2,Bond SD,Dbimodality^2xVEC5.7^2,Dbimodality^2xVECSD5.7^2
NbTaMoWRu,5,0.063814862,0.053543393,0.002866895,0.3,0.09,1.135781669,1.29,0.028271585,0.000258021,0.003698294
TiZrHfVNb,5,0.319350917,0.061850373,0.003825469,-1.3,1.69,1.389244399,1.93,0.064811075,0.006465042,0.007383154
WNbTaMoV,5,0.066301038,0.055428886,0.003072361,-0.3,0.09,0.574456265,0.33,0.035763902,0.000276513,0.001013879
VTaMoWRe,5,0.045432622,0.053693867,0.002883031,0.1,0.01,0.754983444,0.57,0.03288721,2.88E-05,0.001643328
HfMo3V2Ta2Nb2,5,0.098663052,0.056544627,0.003197295,-0.5,0.25,0.781024968,0.61,0.047073576,0.000799324,0.00195035
HfMoVZrW,5,0.218454715,0.057826725,0.00334393,-0.7,0.49,1.135781669,1.29,0.069100569,0.001638526,0.00431367
NbHf3,2,0.302905835,0.059831276,0.003579782,-1.45,2.1025,1.513274595,2.29,0.032616998,0.007526491,0.0081977
NbHf2,2,0.24208043,0.060547166,0.003665959,-1.366666667,1.867777778,1.445683229,2.09,0.035105174,0.006847197,0.007661855
HfNb,2,0.174437895,0.060206734,0.003624851,-1.2,1.44,1.3,1.69,0.036370927,0.005219785,0.006125998
HfNb2,2,0.141629219,0.05750335,0.003306635,-1.033333333,1.067777778,1.135781669,1.29,0.03346674,0.003530752,0.004265559
HfNb3,2,0.113614404,0.055265552,0.003054281,-0.95,0.9025,1.044030651,1.09,0.030359099,0.002756489,0.003329167
HfTaNbMoV,5,0.136766629,0.05854252,0.003427227,-0.7,0.49,0.943398113,0.89,0.054166212,0.001679341,0.003050232
HfTaRe,3,0.121192741,0.056753589,0.00322097,-0.366666667,0.134444444,1.3,1.69,0.054817698,0.000433041,0.005443439
HfTaRe2,3,0.080589869,0.056190703,0.003157395,0.05,0.0025,1.3,1.69,0.052855175,7.89E-06,0.005335998
HfTiTaReRu,5,0.137253046,0.052077102,0.002712025,-0.1,0.01,1.62788206,2.65,0.054886511,2.71E-05,0.007186865
HfTiVTaNb,5,0.181935306,0.060036901,0.00360443,-1.1,1.21,1.204159458,1.45,0.052780705,0.00436136,0.005226423
HfV3Ta2Nb2Mo2,5,0.130163962,0.057348502,0.003288851,-0.6,0.36,0.806225775,0.65,0.051809357,0.001183986,0.002137753
HfVMo,3,0.176929735,0.055799418,0.003113575,-0.7,0.49,1.075484387,1.156666667,0.069348488,0.001525652,0.003601369
HfVMo2,3,0.14539398,0.05320093,0.002830339,-0.45,0.2025,0.943398113,0.89,0.059629982,0.000573144,0.002519002
MoHf3Ta2Nb2V2,5,0.178309811,0.060265338,0.003631911,-0.9,0.81,1.081665383,1.17,0.058269541,0.002941848,0.004249336
MoHfV2,3,0.17471419,0.055989341,0.003134806,-0.7,0.49,0.994987437,0.99,0.068711615,0.001536055,0.003103458
MoRe3V2Nb2Ta2,5,0.056864313,0.054857287,0.003009322,0,0,0.9,0.81,0.038681295,0,0.002437551
MoReNb2,3,0.054231537,0.053665147,0.002879948,0.05,0.0025,0.830662386,0.69,0.026115518,7.20E-06,0.001987164
MoVNb2,3,0.072257945,0.052667505,0.002773866,-0.45,0.2025,0.6244998,0.39,0.03890394,0.000561708,0.001081808
