Chemform,N,RMSAD (SQS),d-band bimodality,d-band bimodality^2,VEC-5.7,VEC5.7^2,VEC SD from 5.7,VECSD5.7^2,Bond SD,Dbimodality^2xVEC5.7^2,Dbimodality^2xVECSD5.7^2
NbTaMoWRu,5,0.063814862,0.053543393080000015,0.0028668949425193933,0.2999999999999998,0.0899999999999999,1.1357816691600546,1.2899999999999998,0.028271585455970572,0.0002580205448267451,0.003698294475850017
TiZrHfVNb,5,0.319350917,0.061850372840000015,0.0038254686204470113,-1.2999999999999998,1.6899999999999995,1.3892443989449808,1.9300000000000008,0.06481107458157812,0.006465041968555447,0.007383154437462735
WNbTaMoV,5,0.066301038,0.05542888550400002,0.0030723613482155437,-0.2999999999999998,0.0899999999999999,0.5744562646538031,0.33000000000000024,0.03576390174367698,0.0002765125213393986,0.00101387924491113
VTaMoWRe,5,0.045432622,0.05369386726400001,0.0028830313817640517,0.10000000000000053,0.010000000000000106,0.754983443527075,0.5700000000000001,0.032887209508152916,2.8830313817640822e-05,0.0016433278876055097
HfMo3V2Ta2Nb2,5,0.098663052,0.05654462709599999,0.0031972948534256967,-0.5000000000000009,0.2500000000000009,0.7810249675906656,0.6100000000000003,0.04707357573878672,0.000799323713356427,0.001950349860589676
HfMoVZrW,5,0.218454715,0.05782672474400001,0.0033439300946183433,-0.7000000000000002,0.49000000000000027,1.1357816691600549,1.2900000000000003,0.06910056938441382,0.001638525746362989,0.004313669822057663
NbHf3,2,0.302905835,0.05983127625,0.0035797816177038145,-1.4500000000000002,2.1025000000000005,1.5132745950421558,2.2900000000000005,0.03261699816323057,0.007526490851222272,0.008197699904541738
NbHf2,2,0.24208043,0.06054716633333333,0.0036659593509963334,-1.3666666666666671,1.867777777777779,1.445683229480096,2.0900000000000003,0.03510517364338557,0.006847197410027601,0.007661855043582338
HfNb,2,0.174437895,0.0602067335,0.003624850758740022,-1.2000000000000002,1.4400000000000004,1.3,1.6900000000000002,0.03637092670047759,0.005219785092585633,0.006125997782270637
HfNb2,2,0.141629219,0.057503349999999995,0.0033066352612224994,-1.033333333333334,1.0677777777777793,1.1357816691600549,1.2900000000000003,0.03346673955778705,0.003530751651149807,0.004265559486977025
HfNb3,2,0.113614404,0.05526555175,0.0030542812102319285,-0.9500000000000002,0.9025000000000003,1.044030650891055,1.09,0.03035909899523228,0.0027564887922343164,0.0033291665191528025
HfTaNbMoV,5,0.136766629,0.05854251978400003,0.0034272266226600353,-0.7000000000000002,0.49000000000000027,0.9433981132056606,0.8900000000000003,0.054166211840285465,0.0016793410451034182,0.0030502316941674328
