Chemform,N,RMSAD (SQS)
NbTaMoWRu,5,0.063814862
TiZrHfVNb,5,0.319350917
WNbTaMoV,5,0.066301038
VTaMoWRe,5,0.045432622
HfMo3V2Ta2Nb2,5,0.098663052
HfMoVZrW,5,0.218454715
NbHf3,2,0.302905835
NbHf2,2,0.24208043
HfNb,2,0.174437895
HfNb2,2,0.141629219
HfNb3,2,0.113614404
HfTaNbMoV,5,0.136766629
HfTaRe,3,0.121192741
HfTaRe2,3,0.080589869
HfTiTaReRu,5,0.137253046
HfTiVTaNb,5,0.181935306
HfV3Ta2Nb2Mo2,5,0.130163962
HfVMo,3,0.176929735
HfVMo2,3,0.14539398
MoHf3Ta2Nb2V2,5,0.178309811
MoHfV2,3,0.17471419
MoRe3V2Nb2Ta2,5,0.056864313
MoReNb2,3,0.054231537
MoVNb2,3,0.072257945
MoW3V2Nb2Ta2,5,0.064659325
MoWTi2,3,0.088350956
MoWV2,3,0.047088237
WMo7,2,0.00779319
WMo3,2,0.0080329
MoW,2,0.007097004
MoW3,2,0.01398553
MoW7,2,0.018420877
ZrNb3,2,0.112137351
NbMoRe,3,0.036888669
NbMoRe2,3,0.048941946
NbMoV2,3,0.073393733
W3NbMoRu,4,0.060735863
MoNb3,2,0.057560813
MoNb2,2,0.050300563
NbMo,2,0.059430015
NbMo2,2,0.041444521
NbMo3,2,0.03695057
RuNb7,2,0.056159538
RuNb3,2,0.077026482
RuNb2,2,0.109485755
NbTa3Mo2Re2V2,5,0.057001042
NbTa3Mo2W2V2,5,0.057988336
NbTa3V2W2Ru2,5,0.073337942
NbTaV2,3,0.094398653
NbTaVWRu,5,0.068845752
TaNb2W2Ru,4,0.058600228
Nb3TaWRu,4,0.054459249
TaNb7,2,0.02285559
TaNb3,2,0.030517693
NbTa,2,0.042644499
NbTa3,2,0.049347693
NbTa7,2,0.048533393
WNb3,2,0.051669198
WNb2,2,0.060818874
NbW,2,0.037506515
NbW2,2,0.02990027
NbW3,2,0.032547198
NbZr,2,0.17455822
NbZr3,2,0.239137998
NbZrW2,3,0.08864479
ReHfTa2,3,0.108348559
ReNbMo2,3,0.030506472
ReV3Nb2Ru2Ta2,5,0.093791219
ReV3Nb2Ta2Mo2,5,0.083207642
RuNb3Re2V2Ta2,5,0.078863178
RuNb3Ta2V2W2,5,0.070652613
RuTaNbVTi,5,0.113971764
TaHf3Ti2V2Nb2,5,0.229446942
TaMo3Re2V2Nb2,5,0.057091857
TaMo3W2V2Nb2,5,0.054008496
TaMoWRe,4,0.031770248
W3TaMoRe,4,0.026487835
MoTa2W2Re,4,0.040458032
WMoTaRu,4,0.084188117
W3TaMoRu,4,0.062140057
TaMo2W2Ru,4,0.068178868
MoTa7,2,0.053145702
MoTa3,2,0.059578281
TaMo,2,0.052465789
TaMo3,2,0.040721858
TaMo7,2,0.030149468
TaNbMoW,4,0.040114703
W3TaNbMo,4,0.031233191
MoTa2Nb2W,4,0.048905881
Ta3NbMoW,4,0.045562122
TaRe3Nb2Ru2V2,5,0.119695214
TaReHf2,3,0.187383597
ReTa7,2,0.055303699
ReTa3,2,0.057440187
TaRe,2,0.049978494
TaTi3W2Nb2V2,5,0.110479774
TaV3W2Ru2Nb2,5,0.078688995
TaVNb2,3,0.078435302
TaWReHfNb,5,0.111025937
TiHfVTaW,5,0.163532226
TiNbRu,3,0.118164332
RuTiNb2,3,0.1151686
TiNbTaVW,5,0.10013694
TiNbWRe,4,0.055788089
W3TiNbRe,4,0.037211862
TiNb2W2Re,4,0.048859086
Nb3TiWRe,4,0.056946807
TiNbWRu,4,0.084805589
W3TiNbRu,4,0.057956432
TiNb2W2Ru,4,0.062547144
Nb3TiWRu,4,0.077434307
TiNbW,3,0.078328709
TiNbW2,3,0.052489389
WTiNb2,3,0.062195471
Nb2TiW2,3,0.060839229
WNbTi2,3,0.087729277
Ti2WNb2,3,0.092051535
NbTi2,2,0.189740844
TiNb,2,0.103225908
TiNb2,2,0.062479632
TiNb3,2,0.076443631
RuTi3,2,0.169655263
RuTi2,2,0.158848647
TiRu,2,0.16180633
TiTa3W2Mo2V2,5,0.068337483
TiTaWMoV,5,0.082269011
TiVNbMo,4,0.093422883
TiW3Ta2V2Mo2,5,0.059378468
TiWReZrRu,5,0.143614588
TiWRe,3,0.045496665
ReTiW2,3,0.035513873
WTi3,2,0.176489028
WTi2,2,0.130550366
WTi,2,0.074151643
TiW2,2,0.046371616
TiW3,2,0.030953442
TiW7,2,0.018197326
TiZrHfNb,4,0.300880584
Nb3TiZrHf,4,0.166706205
TiHf2Nb2Zr,4,0.245260192
TiZrVNb,4,0.223439988
TiV2Zr2Nb,4,0.27090418
W5Ta12V4Mo3,4,0.063817847
Hf2V7Ta4W11,4,0.078580511
Ta6W11V5Mo2,4,0.047021526
TiV5Ta4W2,4,0.107954327
V5Nb2Ta7W10,4,0.059834496
Ti3V8Ta5W8,4,0.071148012
W13Ta2Mo3Re6,4,0.030549125
V7Nb2Ta8W7,4,0.070324907
Ti4V6Ta3W11,4,0.06009455
V6W11Re5Ru2,4,0.060627887
V7Nb3Ta8W6,4,0.072946832
Mo5W12V4Ta3,4,0.034363625
Mo5W3Re3Ru,4,0.07879678
Ta3W16Re3Ru2,4,0.045473587
Mo5W3Re3V,4,0.031108408
Hf2W15Re5Ru2,4,0.066762695
Mo3W16Ta3Re2,4,0.024969131
VTaMoW9,4,0.039709349
NbTaReW9,4,0.020375675
Ti2Nb2Mo3W17,4,0.02477257
